Present Zip Code	Gender	Race	Previous College 1 Name
84088	Female	Black or African American	Brigham Young University
84124	Female	More Than One Race	Salt Lake Community College
84119	Female	White	University of Utah
84065	Female	White	Salt Lake Community College
84118	Female	White	University of Utah
84084	Female	White	Salt Lake Community College
84095	Female	White	University of Utah
84104	Female	More Than One Race	University of Utah
84037	Female	Asian	Salt Lake Community College
84103	Female	White	University of Utah
59802	Male	White	University of Montana
84088	Female	White	Salt Lake Community College
84106	Female	White	University of Utah
84095	Female	White	Utah State University
84108	Female	White	University of Utah
84084	Female	White	Phoenix College
84047	Female	White	Salt Lake Community College
84093	Female	White	University of Utah
84109	Female	White	University of Utah
84606	Female	White	Brigham Young University
84103	Female	White	University of Utah
84108	Female	White	Brigham Young University
84037	Female	White	UTAH STATE UNIVERSITY
84790	Female	White	Dixie State College
84102	Female	White	University of Utah
84105	Female	White	Dixie State College
84105	Female	White	Utah Valley University
84065	Female	White	Salt Lake Community College
84107	Male	Black or African American	Salt Lake Community College
84065	Female	White	Salt Lake Community College
84109	Female	White	University of Utah
84087	Female	White	Salt Lake Community College
84096	Female	White	Brigham Young University
84065	Female	White	University of Utah
84604	Female	White	Brigham Young University
84010	Female	White	Salt Lake Community College
84105	Female	White	Texas A&M University
94553	Female	White	Brigham Young University
84606	Female	White	Brigham Young University
84604	Female	Asian	Brigham Young University
84065	Female	White	University of Utah
84117	Female	More Than One Race	Salt Lake Community College
84119	Female	White	University of Utah
84108	Female	White	University of Utah
84093	Female	White	University of Utah
84010	Male	White	ITT technical
84025	Male	More Than One Race	University of utah
84044	Female	White	BYU-Idaho (Ricks College)
84084	Male	White	SLCC
84088	Female	White	Idaho State University
84107	Female	More Than One Race	University of Guayaquil- Filosophy
84606	Female	White	Brigham Young University
84121	Female	White	SLCC
84093	Female	White	Salt Lake Community College
84103	Female	Asian	University of Utah
84010	Female	White	University of Utah
84121	Male	White	University of Utah
84081	Female	White	De Anza junior college
84118	Male	White	Salt Lake Community College
84105	Female	White	Montana State University
84102	Male	White	UNIVERSITY OF UTAH
84606	Female	White	Brigham Young University
84102	Female	White	University of Utah
84119	Female	White	UTAH STATE UNIVERISTY
84601	Female	"Black or African American, White"	Brigham Young University
84401	Male	White	Weber State University
84106	Male	White	Salt Lake Community College
84092	Female	White	University of Utah
84045	Male	White	University of Utah
84604	Female	White	Brigham Young University
84102	Female	White	University of Utah
84115	Female	White	University of Utah
84093	Female	White	University of Utah
84121	Female	White	University of Utah
84103	Female	White	Vassar College
84095	Female	White	Excelsior College
84095	Female	White	University of Utah
84029	Male	White	University of Utah
84094	Female	White	University of Utah
84108	Female	White	University of Utah
84105	Female	White	University of Utah
84010	Male	White	University of Utah
84152	Male	"White, More Than One Race"	University of Utah
84117	Male	White	University of Utah
84117	Female	White	Salt Lake Community College
84102	Female	White	St. Mary's College of Maryland
84010	Female	White	Weber State University
84124	Female	White	University of Utah
84098	Female	White	College of Charleston
84108	Male	White	Utah State University
84109	Female	White	University of Utah
84108	Female	White	University of Utah
84044	Female	White	University of Utah
84720	Female	White	Southern Utah University
84115	Female	White	Salt Lake Community College
84112	Male	White	Great Basin College
84060	Female	White	University of Utah
84121	Female	White	Brigham Young University Idaho
84103	Male	White	The Citadel
84112	Male	White	University of Utah
84118	Male	White	University of Utah
84123	Female	White	University of Utah
84128	Female	White	University of Utah
84119	Female	Asian	University of Utah
84047	Female	Asian	Salt Lake Community College
84105	Female	Asian	University of Utah
84106	Female	White	Cerro Cosso Community College
84103	Female	White	"Brigham Young University, Idaho"
84015	Female	White	Weber State University
84047	Female	White	Dixie State College
84060	Female	White	Brigham Young University
84601	Female	White	Brigham Young University
84014	Female	White	Weber State University
84121	Female	White	Utah State University
84108	Female	White	Salt Lake Community College
84604	Female	White	Brigham Young University Hawaii
84109	Female	White	Brigham Young University
84118	Female	White	Snow College
84118	Female	White	Utah State University
84667	Male	Native Hawaiian or Other Pacific Islander	Snow College
84020	Female	White	University of Utah
84043	Female	White	Brigham Young University-Idaho
84103	Female	White	University of Utah
84097	Female	White	Brigham Young University
84321	Female	White	Utah State University
84015	Female	White	University of Utah
84720	Female	White	Southern Utah University
84095	Female	White	Utah Valley State College
84020	Female	White	Brigham Young University
84041	Female	White	Treasure Valley Community College
84102	Female	White	University of Utah
84117	Female	White	Salt Lake Community College
84105	Female	White	Frostburg State University
84109	Female	White	University of Utah
84103	Male	White	Utah State University
84106	Female	White	Utah State University
84115	Male	White	Community College of the Air Force
84010	Male	White	University of Utah
84116	Female	White	University of Utah
84010	Female	White	Brigham Young University-Idaho
84095	Female	Asian	University of Utah
84095	Female	White	University of Utah
81230	Female	White	Western State College of Colorado
84105	Female	White	University of Uath
84088	Male	White	University of Utah
84106	Female	White	University of Utah
84109	Female	White	University of Utah
84095	Female	White	Brigham Young University
84108	Female	White	University of Utah
